Ticker,10-K Link
AAPL,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/aapl-20220924.htm
ABBV,https://www.sec.gov/Archives/edgar/data/1551152/000155115222000007/abbv-20211231.htm
ABT,https://www.sec.gov/Archives/edgar/data/1800/000110465922025141/abt-20211231x10k.htm
ACN,https://www.sec.gov/Archives/edgar/data/0001467373/000146737322000295/acn-20220831.htm
AGN,https://www.sec.gov/Archives/edgar/data/1423689/000142368922000014/agnc-20211231.htm
AIG,https://www.sec.gov/Archives/edgar/data/5272/000110465922024701/aig-20211231.htm
ALL,https://www.sec.gov/Archives/edgar/data/0000899051/000089905122000015/all-20211231.htm
AMGN,https://www.sec.gov/Archives/edgar/data/318154/000031815422000010/amgn-20211231.htm
AMZN,https://www.sec.gov/Archives/edgar/data/1018724/000101872422000005/amzn-20211231.htm
AXP,https://www.sec.gov/Archives/edgar/data/0000004962/000000496222000008/axp-20211231.htm
BA,https://www.sec.gov/Archives/edgar/data/12927/000001292723000007/ba-20221231.htm
BAC,https://www.sec.gov/Archives/edgar/data/0000070858/000007085822000062/bac-20211231.htm
BIIB,https://www.sec.gov/Archives/edgar/data/875045/000087504522000007/biib-20211231.htm
BK,https://www.sec.gov/Archives/edgar/data/1390777/000139077722000043/bk-20211231.htm
BLK,https://www.sec.gov/Archives/edgar/data/0001364742/000156459022007117/blk-10k_20211231.htm
BMY,https://www.sec.gov/Archives/edgar/data/14272/000001427222000051/bmy-20211231.htm
C,https://www.sec.gov/Archives/edgar/data/0000831001/000083100122000036/c-20211231.htm
CAT,https://www.sec.gov/Archives/edgar/data/18230/000001823022000050/cat-20211231.htm
CELG,https://www.sec.gov/Archives/edgar/data/14272/000001427222000051/bmy-20211231.htm
CL,https://www.sec.gov/Archives/edgar/data/21665/000002166522000003/cl-20211231.htm
CMCSA,https://www.sec.gov/Archives/edgar/data/1166691/000116669122000009/cmcsa-20211231.htm
COF,https://www.sec.gov/Archives/edgar/data/0000927628/000092762822000106/cof-20211231.htm
COP,https://www.sec.gov/Archives/edgar/data/0001163165/000156276222000031/cop10k2021.htm
COST,https://www.sec.gov/Archives/edgar/data/0000909832/000090983222000021/cost-20220828.htm
CSCO,https://www.sec.gov/Archives/edgar/data/858877/000085887722000013/csco-20220730.htm
CVS,https://www.sec.gov/Archives/edgar/data/64803/000006480322000008/cvs-20211231.htm
CVX,https://www.sec.gov/Archives/edgar/data/93410/000009341022000019/cvx-20211231.htm
DD,https://www.sec.gov/Archives/edgar/data/1666700/000166670022000009/dd-20211231.htm
DHR,https://www.sec.gov/Archives/edgar/data/313616/000031361622000061/dhr-20211231.htm
